Jour,Heure,Seconde,Centième,Vitesse,Type,Véhicule,Catégorie,Inter-essieux,E2/E3,E3/E4,E4/E5,E5/E6
10/10/22,11:41,34,34,6,Vélo,13,102,,,,,
10/10/22,11:41,34,97,38,VL,1,257,,,,,
10/10/22,11:41,37,42,33,VL,1,257,,,,,
10/10/22,11:41,39,58,28,VL,1,244,,,,,
10/10/22,11:41,42,28,32,VL,1,269,,,,,
10/10/22,11:41,44,7,30,VL,1,243,,,,,
10/10/22,11:41,47,29,33,VL,1,257,,,,,
10/10/22,11:41,49,52,29,VL,1,256,,,,,
10/10/22,11:41,55,29,31,VL,1,257,,,,,
10/10/22,11:41,57,33,34,VL,1,231,,,,,
10/10/22,11:42,1,10,32,VL,1,243,,,,,
10/10/22,11:42,3,28,39,VL,1,243,,,,,
10/10/22,11:42,9,75,38,VL,1,258,,,,,
10/10/22,11:42,11,54,41,VL,1,257,,,,,
10/10/22,11:43,19,81,46,VL,1,255,,,,,
10/10/22,11:43,20,78,44,VL,1,232,,,,,
10/10/22,11:43,26,75,45,VL,1,256,,,,,
10/10/22,11:43,28,46,45,VL,1,243,,,,,
10/10/22,11:43,30,28,46,VL,1,217,,,,,
10/10/22,11:43,33,0,42,VL,1,271,,,,,
10/10/22,11:43,34,59,40,VL,1,243,,,,,
10/10/22,11:43,38,34,37,VL,1,256,,,,,
10/10/22,11:43,41,43,41,VL,1,258,,,,,
10/10/22,11:43,45,88,36,VL,1,243,,,,,
10/10/22,11:43,47,33,37,Moto,13,115,,,,,
10/10/22,11:44,0,10,55,VL,1,243,,,,,
10/10/22,11:45,17,25,48,VL,1,257,,,,,
10/10/22,11:45,19,59,45,VL,1,269,,,,,
10/10/22,11:45,23,3,48,VL,1,346,,,,,
10/10/22,11:45,29,37,45,VL,1,243,,,,,
10/10/22,11:45,32,21,43,VL,1,280,,,,,
10/10/22,11:45,36,20,41,VL,1,270,,,,,
10/10/22,11:45,47,63,42,VL,1,245,,,,,
10/10/22,11:46,46,45,57,VL,1,255,,,,,
10/10/22,11:46,51,92,49,VL,1,295,,,,,
10/10/22,11:47,8,11,47,VL,1,244,,,,,
10/10/22,11:47,11,71,38,VL,1,231,,,,,
10/10/22,11:48,16,2,61,VL,1,244,,,,,
10/10/22,11:48,23,94,47,VL,1,255,,,,,
10/10/22,11:48,25,95,45,VL,1,270,,,,,
10/10/22,11:48,32,65,37,VL,1,257,,,,,
10/10/22,11:48,34,4,37,VL,1,256,,,,,
10/10/22,11:48,37,95,35,VL,1,268,,,,,
10/10/22,11:48,39,79,33,VL,1,256,,,,,
10/10/22,11:48,44,30,31,VL,1,256,,,,,
10/10/22,11:48,53,39,49,VL,1,258,,,,,
10/10/22,11:48,58,1,53,Moto,13,127,,,,,
10/10/22,11:49,53,73,52,VL,1,257,,,,,
